customer_id,product_id
2094,"[173, 1119, 1242, 460, 104, 27]"
1277,"[67, 217]"
1745,"[666, 1122, 899, 423, 1438, 145, 760, 57]"
2312,[960]
8943,"[517, 787, 804, 754, 904, 41]"
1447,"[82, 924, 1513, 211, 933, 1470, 979]"
5933,"[242, 446, 663, 1158]"
5833,[1554]
2433,"[938, 316, 1038]"
4350,[129]
5624,"[1031, 449, 638, 1214]"
2094,"[266, 1187, 711, 582, 239]"
2467,"[715, 1397, 592, 1328, 1505]"
3523,"[436, 652, 3, 392]"
7231,"[696, 286, 1101, 213, 176, 1018]"
1554,"[163, 326, 666, 350, 1298, 11]"
6369,[872]
704,"[17, 739, 1275, 493]"
9887,"[676, 733, 150, 339, 916, 1159, 843]"
9425,"[724, 979, 1356, 1519, 549, 1485, 649, 1186]"
3958,"[680, 1483, 1046, 1529, 81, 164, 1472]"
4531,"[204, 940, 1117, 1000, 1350, 1445]"
6048,"[754, 504, 1253, 151]"
7976,"[694, 271]"
8544,"[1293, 1176, 1526, 477, 920, 5, 1193, 1476]"
3168,"[1393, 974, 1377, 581, 585, 1400, 98, 475]"
7734,"[1323, 1473, 1024, 1228, 1444, 381, 1184]"
2634,"[1407, 1223, 215, 125, 807, 319, 641, 818]"
2082,"[1492, 1363, 1020]"
5406,"[1176, 754, 877, 95]"
3958,"[278, 748, 1309, 354, 931]"
5833,"[52, 668, 1523, 102, 518, 828, 1456, 302]"
814,"[1350, 1034, 425, 695, 712, 662]"
1260,[915]
8544,"[499, 1275, 505, 842, 659, 1208, 705, 1387]"
9953,"[466, 1335, 699, 637, 94, 1308, 366]"
1948,"[873, 917]"
315,"[634, 490, 507, 457, 607, 157, 1505]"
5617,[197]
224,"[1499, 596, 1333, 1509, 1393]"
8106,"[754, 105, 494]"
9585,"[1397, 1503, 573, 977, 594]"
1588,"[1110, 195, 1383, 107]"
2082,"[783, 761, 1243]"
2275,"[1163, 9]"
7015,"[392, 1180, 1517, 1334, 325, 1380]"
1277,"[1417, 75, 571, 1373, 1351, 275]"
4126,[471]
4362,"[605, 928, 1104, 988, 1337, 289]"
5065,"[645, 395, 1144, 455]"
6604,[585]
6938,"[994, 905, 29]"
6263,"[718, 1321]"
9562,"[842, 193, 582, 559]"
6369,"[476, 1291, 403, 365, 1208]"
4040,"[952, 276, 332, 1308, 353, 515]"
8767,[419]
2814,"[1360, 179, 1021, 52, 988, 152]"
3277,"[256, 1204, 1061, 1077]"
6339,"[1527, 1238, 961, 1377, 129]"
3653,"[405, 755, 1265]"
9586,"[93, 109]"
9953,[159]
4362,"[1501, 559]"
2181,"[1262, 132, 1135, 99, 1235]"
8121,"[232, 835, 1412, 1241, 925, 315, 586]"
8649,"[1438, 722, 167, 689, 267, 390, 1165, 396]"
2974,"[663, 1146, 1256, 1339]"
8039,"[1367, 651, 1240, 618, 1340]"
6370,"[751, 940, 1516, 202, 1444, 834, 691]"
9942,"[593, 1435]"
7929,"[1311, 822, 1145, 1321]"
814,"[812, 762, 912, 462, 252]"
9984,"[103, 918, 30]"
2434,"[80, 256, 140, 489, 585]"
2433,"[799, 776, 1258]"
1554,"[1082, 1485, 1102]"
6339,"[154, 836]"
3613,"[1325, 1169, 493, 549]"
2814,"[484, 234, 983]"
6370,"[540, 796, 1172, 457, 1046, 424, 1146]"
5617,"[463, 613, 164]"
5624,"[347, 962, 673, 397]"
7021,"[1010, 920, 44]"
6346,"[1147, 1336]"
8121,"[760, 111, 914]"
6346,"[1403, 155, 1197, 1186, 804]"
1277,"[640, 1283]"
1745,"[1239, 630, 900, 916, 867, 1016, 567, 357]"
6563,"[767, 1316, 1226, 351, 1006]"
9887,"[48, 743, 947, 1163, 514, 903, 880, 1363]"
2433,"[899, 1075, 959, 1308]"
6076,"[666, 216, 420]"
8106,"[1015, 726, 449]"
1523,"[1032, 676, 599, 416]"
2275,"[1389, 407, 650, 334, 1283, 1139]"
7588,"[953, 544, 1359, 471, 847, 1276, 720]"
6563,"[268, 285, 235, 385, 1493, 1283, 1500, 851]"
1553,"[595, 1277, 374, 1111]"
3523,"[761, 778, 728]"
3560,"[404, 1419, 1490, 548, 1403]"
10160,"[188, 510, 687, 571]"
1745,"[128, 277]"
2275,"[727, 38, 960, 897, 354, 11, 627, 338]"
6563,[924]
1560,"[265, 282, 232]"
1554,"[588, 459, 116, 731, 442, 166]"
6369,[152]
2974,"[1028, 1498]"
9049,"[523, 313, 529, 1438, 269]"
1032,[53]
6076,"[568, 905, 722, 1271, 1182, 306, 962]"
9585,"[1429, 1512, 1262, 453, 909, 686, 210]"
5578,"[726, 1235, 120]"
1371,"[1541, 1491, 83, 1192, 1396, 54, 549, 1352]"
5430,"[1073, 584, 906]"
6604,"[1382, 68, 1310, 700, 557]"
8039,"[873, 1183, 667]"
315,"[1302, 293, 204, 886, 1541, 719, 896, 780]"
4607,"[150, 220, 836, 133]"
1174,"[237, 786, 697]"
2434,"[1189, 607, 1210, 1372, 57, 1299]"
6370,"[656, 1060, 263, 267, 1083, 1339]"
8106,[124]
2312,"[1039, 1056, 1006, 1156, 706, 910]"
3747,"[32, 620, 1556, 720]"
5617,"[1490, 920, 244, 714, 131]"
9887,"[394, 265, 1479, 537, 248]"
5617,"[274, 1011, 1187, 1071, 1420, 1516]"
5852,"[728, 478, 1227, 125]"
7745,"[668, 245]"
843,"[569, 452, 802, 1311, 196]"
1882,"[1405, 329, 440, 523, 273, 1022, 1478]"
6076,"[1062, 945, 1295, 246, 689]"
5418,"[437, 920, 616]"
6346,"[732, 350, 354, 975]"
8245,"[1011, 1520, 1550, 634]"
9432,"[1483, 834, 79, 1200, 125, 235, 318]"
7213,"[1261, 358, 1094, 1271]"
6093,"[858, 808, 958, 509, 299]"
814,"[149, 965, 76, 39]"
1420,"[1075, 159, 1347, 72]"
3560,"[845, 822, 1305]"
1894,[1128]
9942,"[1180, 211, 1147]"
919,"[251, 694, 923, 966, 1249, 401, 245]"
1396,"[440, 856, 1166, 650]"
9685,"[1060, 1382, 1, 1443, 234, 744, 773, 1416]"
634,"[1030, 1446, 198, 1240, 1230, 847, 437]"
7758,"[315, 891, 720, 404, 1353, 65, 82]"
919,"[202, 1204, 168, 1304, 1427]"
9954,"[905, 1067]"
1371,"[1237, 69]"
1032,"[505, 1121, 418]"
8121,"[459, 1235, 465, 802, 619, 1168, 665, 1347]"
71,"[1397, 709, 72, 10]"
6339,"[952, 1314, 958]"
1823,"[1354, 505, 1493, 817, 1287, 705]"
5617,"[821, 545, 961, 1271, 755, 744]"
9942,[289]
8245,"[405, 235, 1477, 867, 1138, 1154, 1104]"
4698,"[719, 1241, 819, 941, 159, 948, 1285]"
1032,"[1401, 752, 1141, 1118, 43, 153]"
10113,"[1538, 317, 134, 683]"
4208,"[1172, 1415, 1099, 489]"
4350,"[539, 196, 812, 523, 246, 662]"
1553,"[676, 1319, 1362, 87]"
6563,"[763, 326, 809, 919, 1002, 753, 1502, 813]"
6938,"[1169, 254, 297, 580]"
4531,"[163, 140, 622, 733, 816, 566, 1315]"
1948,"[34, 1355, 1238, 30, 539]"
462,"[656, 633]"
1560,"[150, 1005, 1239, 97, 1552, 1036]"
489,"[287, 570]"
6604,[1418]
6416,"[443, 1246, 1223, 147, 1402, 1485, 1235, 426]"
9620,"[161, 190, 833, 877, 1160, 311]"
3277,"[773, 644, 301, 916, 627, 351, 767]"
9425,"[487, 331]"
1882,"[1007, 1157, 708, 498, 714, 65]"
3168,"[1047, 624, 747]"
1588,"[1237, 866, 1149, 301]"
8943,"[244, 727]"
7734,"[957, 961]"
6093,"[145, 1520, 511, 8, 690, 201, 524]"
6048,"[338, 89]"
1788,"[898, 382, 371, 1547]"
8315,"[1291, 1174, 1524, 475, 505, 1147]"
9562,"[1330, 642, 5, 1087]"
9685,"[568, 1344, 988]"
1805,"[506, 801]"
3177,"[1371, 1321, 1471, 1022, 812, 1028, 379]"
2433,"[1068, 1404]"
7015,"[127, 769, 399, 682, 1391, 1235, 559]"
1554,"[703, 599]"
1447,"[1115, 93, 869]"
6604,"[892, 1175, 326, 170, 1052]"
4607,"[1221, 585, 522]"
6093,"[240, 828, 206, 928, 1465]"
622,"[529, 1105, 1348]"
1588,"[346, 96]"
1805,"[905, 389, 379, 1554]"
5430,"[1395, 1279, 70, 166, 609, 1252]"
680,"[1435, 333, 110, 1192]"
9754,"[576, 1352, 582]"
2634,"[197, 906, 750, 74, 130, 1106, 151, 313]"
491,"[656, 1499]"
3192,"[496, 7, 330, 507, 390, 740, 1249]"
7021,"[876, 814, 271, 1486, 543, 254, 1536, 394]"
8106,"[631, 820, 1396, 81, 1323, 714]"
5078,"[670, 287, 756, 14]"
224,"[1143, 1239, 124, 766, 810]"
9953,"[561, 644, 395]"
8231,"[1540, 798, 1467]"
1523,"[1517, 1280, 1164, 1513, 465]"
9585,"[581, 558]"
919,"[76, 931, 1068, 1484, 1380, 864]"
7929,"[994, 1277, 428, 272, 1154]"
3823,"[445, 1366, 1304, 761, 418, 1033]"
9887,"[9, 359]"
2341,"[1407, 425, 669, 352, 1301, 1157]"
6369,"[875, 465, 1280, 392, 768, 1197, 642]"
5852,"[189, 206, 156, 306, 1415, 1205, 1421, 772]"
704,"[516, 1295, 393, 1129]"
4020,"[780, 796, 746]"
2341,[1102]
7231,"[992, 476, 879, 83, 87, 902]"
649,"[766, 822, 239, 429, 1005, 1248, 932]"
9374,"[716, 972, 1348, 632, 1221, 599, 1321, 300]"
2275,"[1352, 596, 160]"
7213,"[1395, 879, 869, 486, 76, 892]"
7758,"[1435, 347, 909]"
2634,"[653, 1135, 1245, 1329]"
9574,"[556, 1399, 843, 1365]"
7231,"[590, 1299]"
491,"[311, 261]"
2622,"[111, 860, 1316]"
4429,"[673, 1049, 334]"
9049,"[880, 1230, 181, 624, 853]"
2974,"[757, 454]"
680,"[370, 787, 1096, 581]"
3032,"[505, 827, 1004, 888, 1237]"
634,"[1157, 402]"
71,"[425, 1041, 752, 475]"
6938,"[991, 901, 26]"
6263,"[714, 1317]"
704,"[62, 971, 1360, 1337, 261, 372, 455]"
8649,"[1397, 494, 1231, 994]"
6563,"[898, 848, 998, 135, 338]"
3168,"[286, 1101]"
7424,"[845, 1394, 891, 15, 1084, 1407]"
4350,[885]
9754,[935]
9953,"[958, 1374, 126, 1168, 1157, 775, 779]"
7976,"[339, 915]"
3560,"[672, 1475, 1038, 1521, 73, 156, 1464]"
4362,"[196, 932, 1109, 992, 1342, 1437]"
6027,"[746, 496, 1245, 143]"
7929,"[686, 263]"
8315,"[1285, 1168, 1518, 469, 912, 1555, 1185, 1468]"
3805,"[687, 171, 574, 1336, 1340]"
2476,"[936, 980, 1263, 414]"
4277,"[358, 841, 537]"
4965,"[654, 271, 372, 1187]"
1371,"[345, 855, 884, 1527, 12, 295, 1004, 434]"
2181,"[1244, 861, 451, 1267, 378, 755, 1183]"
9562,"[1463, 176, 192]"
8106,"[975, 498, 1513, 26, 642, 1497]"
8245,"[1014, 1524, 409, 1051]"
489,"[439, 1348]"
2094,"[744, 815, 1431, 728, 865, 1281, 1177]"
2814,"[845, 169, 226, 1201, 1390]"
5430,"[1431, 1088, 146]"
7929,[822]
3560,[6]
6187,"[1442, 1471, 556, 599, 882]"
649,"[239, 1548]"
843,"[799, 283, 273]"
3560,"[1467, 1378, 502, 1157, 336]"
9887,[1211]
680,"[1528, 53, 1361, 552, 1008, 785, 309]"
7270,"[922, 1431, 316, 959]"
8391,[250]
6048,"[393, 1142, 40, 1375]"
5406,"[1304, 283, 1059, 289]"
3713,"[1298, 716, 905, 1481, 166, 1408, 799]"
5284,"[1545, 363, 1206, 237, 1173, 336, 873]"
6346,"[1362, 913, 703, 919, 270, 1073]"
9049,"[926, 1049, 267, 1469, 1392, 1209, 201]"
9887,"[1249, 1226, 151, 261, 344]"
7273,"[1419, 1542]"
4905,"[87, 436]"
3192,"[340, 503, 746, 430, 1378, 91, 107]"
5284,"[130, 719, 97, 819, 1356]"
8704,"[420, 996]"
1553,"[849, 94, 71]"
1745,"[893, 377, 367, 1542]"
8315,"[1286, 1170, 1519, 471, 500, 1143]"
9049,"[1326, 637, 1559, 1180]"
10160,"[1248, 466, 110, 33, 1408, 399]"
4907,"[143, 1491, 150, 1059]"
3560,"[576, 193]"
1805,"[189, 526, 343, 892, 803]"
8544,"[1083, 1033, 1183, 320, 523, 740]"
2476,"[137, 1073, 236, 773, 1549, 779]"
8391,"[1259, 1209, 1359, 910, 1113, 1330, 267]"
7788,"[1369, 1292]"
680,"[1475, 560, 604, 887, 38, 1026, 350]"
1002,"[1098, 1408, 892, 882]"
2312,"[66, 243, 127, 476, 572]"
919,"[688, 665]"
2152,"[183, 1135, 1272, 130, 440, 1068]"
649,"[320, 602, 1312, 1156]"
6370,"[180, 290, 373, 124, 873, 1328, 1106]"
9562,"[893, 1242, 194, 637, 866, 910]"
2974,"[360, 1282, 1219, 677, 333, 949]"
7304,"[1386, 177, 784, 813, 1456, 1500, 224, 934]"
7758,"[504, 493, 111, 1259, 516, 1186]"
1805,"[1529, 533, 1136, 154, 1542, 1226]"
5078,"[583, 986, 604, 194, 1009, 121, 84, 926]"
9592,"[35, 730, 934, 1150, 501, 890, 867]"
4983,"[1343, 335, 1389, 514, 25, 347, 524, 407]"
9984,"[288, 1503, 561, 272, 1553]"
3560,"[937, 1114, 997, 1347]"
6358,"[704, 255, 45]"
9754,"[1151, 862, 585]"
2476,"[1167, 812, 735]"
649,"[625, 469]"
6263,"[984, 961, 1444, 1554]"
9754,"[805, 768]"
8943,"[339, 1022, 119]"
704,"[76, 238, 481, 165, 1114, 1384]"
